name,degrees,funds,location
Differential Tuition Fee Exemption international awards at University of Ottawa,"Master, Bachelor",Variable,canada
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",europe
FindDataLab Research Grant Programme in USA and EU,"Bachelor, Master, Phd, Course","Up to $1,000 towards web scraping serivces",europe
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",europe
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,europe
Scholarship for Online Learner at IU International University of Applied Sciences � Online,"Master, Bachelor",Up to � 13.000,europe
Scholarship for Academics at IU International University of Applied Sciences � Online,"Master, Bachelor",up to �13.000,europe
Scholarship for Future Entrepreneur at IU International University of Applied Sciences - Online,"Master, Bachelor",not specified,europe
Scholarship for STEM/MINT Professionals at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,europe
Scholarship for Women in Leadership and Management at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,europe
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",europe
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,europe
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,europe
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,europe
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,europe
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,europe
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",south-africa
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",south-africa
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,south-africa
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",south-africa
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,south-africa
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,south-africa
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,south-africa
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,south-africa
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,south-africa
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,south-africa
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,south-africa
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,south-africa
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,south-africa
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,south-africa
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,south-africa
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",nigeria
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",nigeria
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,nigeria
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",nigeria
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,nigeria
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,nigeria
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,nigeria
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,nigeria
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,nigeria
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,nigeria
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,nigeria
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,nigeria
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,nigeria
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,nigeria
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,nigeria
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",pakistan
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,pakistan
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",pakistan
Scholarships at the Superior College in Pakistan,"Bachelor, Master",The sponsorship will provide the educational fund for your studies.,pakistan
April 2019 -Scholarship Application Open! Faculty of Global Studies,Bachelor,30-100% tuition fee,pakistan
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,pakistan
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,pakistan
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,pakistan
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,pakistan
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,pakistan
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,pakistan
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,pakistan
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,pakistan
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,pakistan
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,pakistan
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",india
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,india
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",india
April 2019 -Scholarship Application Open! Faculty of Global Studies,Bachelor,30-100% tuition fee,india
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,india
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,india
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,india
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,india
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,india
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,india
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,india
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,india
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,india
Visiting Student Program (VSP) - Raman Research Institute,Phd,Partially Funded,india
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,india
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",united-states
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,united-states
Academic Scholar- Distinction International Awards in USA,Bachelor,$500 + tuition fee reduction,united-states
CS/IS International Graduate Achievement Scholarships in USA,Master,$500,united-states
Leaders of Tomorrow international awards in USA,Bachelor,"$33,000 ($8,250 p.a.)",united-states
P.E.O. International Scholar Awards,Phd,"$20,000",united-states
VCU Out-of-State Scholarships in the USA,Bachelor,"$7,500",united-states
Future Leaders in Tech Scholarship,Bachelor,"$20,000",united-states
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",united-states
INTO SLU Undergraduate Regional Scholarships at Saint Louis University,Bachelor,"$500 - $15,000",united-states
North Central College International Honors Scholarship in USA,Bachelor,"$27,000 p.a.",united-states
Global Citizen Scholarships at Saint Leo University,Bachelor,"$3,000",united-states
International Presidential Scholarships at North Central College,Bachelor,"$29,000 p.a.",united-states
OAS Scholarships for International Students at Marconi International University,"Master, Bachelor",55% of tuition fees,united-states
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",united-states
Engineering: Fully Funded EPSRC PhD Scholarship at Swansea University: solid-state batteries,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-kingdom
Becas Grisart 2022,Course,Take the courses free of charge.,united-kingdom
BLACA Awards for International Students in UK,Master,"Up to �9,000 towards tuition fees",united-kingdom
GREAT Scholarships for International Students at University of York,Master,"�10,000",united-kingdom
University of Exeter Business School Online International Scholarships in UK,Master,"�5,000 or �750",united-kingdom
Postgraduate Taught International Scholarships at Hull York Medical School,Master, 5% fee reduction,united-kingdom
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,united-kingdom
Maths and Physics Undergraduate International Scholarships in UK,Bachelor,"�5,000",united-kingdom
Postgraduate International Development Scholarships for South Korea Students,Master,"�6,000",united-kingdom
Computer Science Scholarships for International Students in UK,Master,"�2,000 or �4,000 tuition fee discount.",united-kingdom
African & Caribbean Excellence Awards at University of Glasgow,Master,Full tuition fee waiver,united-kingdom
Project Management - Free Course From Windsor University's MBA,Course,100% free,united-kingdom
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-kingdom
Engineering: Fully Funded PhD at Swansea: Capture and reduction of carbon emissions,Phd,Full cost of tuition fees and an annual stipend,united-kingdom
Entrance international awards at Sault College,"Master, Bachelor","Up to $4,000",canada
International Entrance Scholarships at Memorial University of Newfoundland,Bachelor,"$4,400",canada
International Postdoctoral Positions in Clinical Neurosciences,Phd,"$55,000 p.a. + benefits",canada
McMaster University Award of Excellence in Canada,Bachelor,"$3,000",canada
KDS Competition Scholarship 2021,"Master, Bachelor","Up to $1,500",canada
University Canada West Americas Tuition Awards in Canada,"Master, Bachelor",Discounted courses,canada
University Canada West Second Language Excellence international awards,"Bachelor, Master","Up to $8,000",canada
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",canada
Dean�s Circle ESB International Student Awards in Canada,Bachelor,"$5,000",canada
University of Waterloo Arthur F. Church Mechanical Engineering international awards,Bachelor,"Up to $5,000",canada
University of Ottawa International Admission Doctorate Scholarships in Canada,Phd,"$9,000 p.a.",canada
Emerging Market Entrance Awards for International Students at Brock University,Bachelor,"$1,000-$4,000",canada
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",canada
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,canada
One-year Entrance Scholarships at McGill University,Bachelor,"$12,000",canada
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,europe
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,europe
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,europe
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,europe
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,europe
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,europe
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,europe
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,europe
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,europe
Erasmus Exchange Programme,Fully Funded,,europe
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,europe
Be an exchange student for 1-2 semesters,Not Funded,,europe
Horizon 2020,Phd,Fully Funded,europe
Amelia Earhart Fellowship,Phd,Fully Funded,europe
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,europe
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,south-africa
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,south-africa
SAIIA Bradlow Fellowship Programme,Phd,Fully Funded,south-africa
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,south-africa
Erasmus Exchange Programme,Fully Funded,,south-africa
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,south-africa
Be an exchange student for 1-2 semesters,Not Funded,,south-africa
Horizon 2020,Phd,Fully Funded,south-africa
Amelia Earhart Fellowship,Phd,Fully Funded,south-africa
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,south-africa
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,south-africa
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,south-africa
DRD Scholarships for Sub-Saharan Africans,,,south-africa
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,nigeria
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,nigeria
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,nigeria
Erasmus Exchange Programme,Fully Funded,,nigeria
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,nigeria
Be an exchange student for 1-2 semesters,Not Funded,,nigeria
Horizon 2020,Phd,Fully Funded,nigeria
Amelia Earhart Fellowship,Phd,Fully Funded,nigeria
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,nigeria
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,nigeria
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,nigeria
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,pakistan
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,pakistan
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,pakistan
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,pakistan
Erasmus Exchange Programme,Fully Funded,,pakistan
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,pakistan
Be an exchange student for 1-2 semesters,Not Funded,,pakistan
Horizon 2020,Phd,Fully Funded,pakistan
Amelia Earhart Fellowship,Phd,Fully Funded,pakistan
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,pakistan
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,pakistan
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,pakistan
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,india
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,india
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,india
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,india
Erasmus Exchange Programme,Fully Funded,,india
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,india
Be an exchange student for 1-2 semesters,Not Funded,,india
Horizon 2020,Phd,Fully Funded,india
Amelia Earhart Fellowship,Phd,Fully Funded,india
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,india
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,india
The Indian Technical and Economic Cooperation (ITEC) Programme,Phd,Fully Funded,india
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,india
Wichita International Student Hardship Fund in the United States,Bachelor,"Up to $1,000",united-states
merit awards for International Students at Columbia College,Bachelor,"Up to $12,000 p.a.",united-states
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,united-states
Meistersinger music awards for International Students at Wartburg College,Bachelor,"Up to $5,000 p.a.",united-states
Musicians Institute Musicianship international awards in USA,Bachelor,"$1,000",united-states
Merit-Based Scholarships for International Students at St. Francis College,Bachelor,"Up to $7,500",united-states
College of Lake County International Student Scholarships in USA,Bachelor,"$1,000",united-states
Catherine T. McNamee International Student Scholarships in USA,Bachelor,"Up to $30,000 p.a.",united-states
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",united-states
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",united-states
International Presidential Scholarships at Stratford University,"Bachelor, Master",25% tuition discount,united-states
International Opportunity Scholarships at National Louis University,Bachelor,10% of the full-time tuition rate,united-states
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,united-states
John Barras DDS Autism Scholarships,"Phd, Master, Bachelor, Course","$1,000",united-states
Merit-Based Scholarships for International Students at Kalamazoo College,Bachelor,"$21,000-35,000 p.a.",united-states
Sports Science: Fully Funded PhD at Swansea: The effect of mineral rich Algae,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Physics: Fully Funded PhD Scholarship at Swansea: Photovoltaic Applications,Phd,Full cost of UK tuition fees and an annual stipend,united-kingdom
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",united-kingdom
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,united-kingdom
University of Sussex Hornsey Scholarship in UK,Master,"�10,000",united-kingdom
David Sainsbury Full MSc Scholarships for International Students in UK,Master,"Full tuition fees + �15,609 p.a. stipend",united-kingdom
Think Big About Education International Scholarships in UK,Master,"�5,000",united-kingdom
Lebanon Bursaries at University of Warwick,Master,25% tuition fee discount,united-kingdom
Chancellors International Business School Scholarships at University of Sussex,Bachelor,"�5,000 p.a.",united-kingdom
Chancellors International Engineering and Informatics Scholarships,"Bachelor, Master","�5,000 p.a.",united-kingdom
University of St Andrews EU Scholarships in UK,Master,"�8,000",united-kingdom
Blockchain in Business and Society International Scholarships,Master,"�15,000",united-kingdom
GREAT Scholarships for International Students at Falmouth University,Master,"�10,000",united-kingdom
Intake Education Taiwan Scholarships in UK,Master,"�2,000",united-kingdom
INTO Progressors International Scholarships at Queen�s University Belfast,"Phd, Master, Bachelor",10% of tuition fees,united-kingdom
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",canada
Graduate Dean�s Entrance Scholarship at University of British Columbia,Master," $5,000",canada
International Scholarship Program (Firdaws Academy),Course,100%,canada
MPOWER Global Citizen Scholarship,"Bachelor, Master, Phd","Fixed interest rates for amounts between $2,001.00 and $50,000.00",canada
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,canada
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,canada
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,canada
Centre for Studies in Religion and Society (CSRS) Visiting Research Fellowships,Phd,Partially Funded,canada
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,canada
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,canada
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,canada
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,canada
Konrad von Moltke Research Grants for the young researchers,Phd,Fully Funded,canada
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,canada
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,canada
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,europe
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,europe
KU Full-tuition International Excellence Awards in USA,Bachelor,"Up to a full tuition waiver ($25,000+/year)",united-states
International Undergraduate Commitment Scholarships at Western Illinois University,Bachelor,"Up to $8,000",united-states
international awards at Anderson University,Bachelor,Variable,united-states
International Student Emergency Relief Scholarships in USA,Bachelor,"Up to $1,000",united-states
KDS Competition Scholarship 2021,"Master, Bachelor","Up to $1,500",united-states
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",united-states
Graduate Studies international awards at University of Southern Maine,Master,"Up to $3,000",united-states
Charger Award for International Students at University of New Haven,Bachelor,"Up to $14,000 p.a.",united-states
Freshman Scholarships for International Students at Wilkes University in USA,Bachelor,"$14,000 � $21,000",united-states
President�s Entrance international awards at Ryerson University in Canada,Bachelor,"$40,000",united-states
John Foy & Associates Strong Arm Leukemia funding for International Students in USA,"Bachelor, Master","$1,000",united-states
James B. Duke Scholarships for International Students at Furman University,"Bachelor, Master",Full tuition + stipend,united-states
University of Findlay International Scholar Awards in USA,Bachelor,Variable,united-states
Musicians Institute Melodic Soloing Guitar international awards in USA,"Bachelor, Master","$1,500",united-states
FindDataLab Research Grant Programme in USA and EU,"Bachelor, Master, Phd, Course","Up to $1,000 towards web scraping serivces",united-states
Mischon de Reya Scholarships for International Students at Queen Mary University of London,Master,Full tuition fees,united-kingdom
CU Group Undergraduate International Scholarships in UK,Bachelor,"�5,000",united-kingdom
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,united-kingdom
Department of Meteorology International PhD Scholarships in UK,Phd,"Up to �3,000",united-kingdom
Postgraduate International Studentships in Marketing,Master,"�5,900",united-kingdom
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,united-kingdom
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",united-kingdom
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,united-kingdom
African Scholarships at University of Essex,Master,"�4,500",united-kingdom
GREAT Scholarships for Mexican Students at Queen�s University Belfast,Master,"�10,000",united-kingdom
GREAT China Scholarships for Justice and Law,Master,"�10,000",united-kingdom
Great Scholarship for Chinese Students at University of Sussex,Master,"�10,000",united-kingdom
Warwick WMG Bursaries for Iranian Students in UK,Master,25% of tuition fees,united-kingdom
International School Undergraduate Outstanding Achievement Scholarships in UK,Bachelor,"�2,500",united-kingdom
University of Glasgow Angela Adams Scholarship 2022,Master,"�5,000",united-kingdom
Mount Saint Vincent University - Graduate Student Scholarships,"Master, Phd",Partially Funded,canada
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,canada
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,canada
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,canada
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,canada
McGill University - Entrance Law Scholarships,Bachelor,Partially Funded,canada
"McGill University - Graduate Law Scholarships, funds and bursaries",Master,Partially Funded,canada
University of Manitoba - Graduate Fellowship (UMGF),Master,Fully Funded,canada
York University - International Entrance Scholarship,Bachelor,Partially Funded,canada
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,canada
The Humane Studies Fellowship - Institute for Humane Studies at George Mason University,Phd,Fully Funded,canada
IIASA Funded Postdoctoral Fellowships,Phd,Fully Funded,canada
Erasmus Exchange Programme,Fully Funded,,canada
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,canada
Be an exchange student for 1-2 semesters,Not Funded,,canada
International Merit Awards at Culinary Institute of America,Course,Tuition fee reduction.,united-states
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",united-states
Quran Learning Scholarship Program,Course,Up to $300,united-states
Need-Based Grants for International Students in the United States,Bachelor,"Up to $10,000 p.a.",united-states
Global Leader Scholarships in the USA,Bachelor,"approx. $10,656 p.a.",united-states
4WARD Graduation Scholarships for International Students,Bachelor,50% of tuition over 4 years,united-states
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,united-states
International Merit Scholarship at University of Memphis,"Bachelor, Master",Varying award amount,united-states
"$2,500 for Graduate School: GradCAS Breakthrough Scholarship","Master, Phd","$2,500",united-states
"$2,500 for Engineering Students: EngineeringCAS Breakthrough Scholarship","Master, Phd","$2,500",united-states
"$2,500 for Business School: BusinessCAS Breakthrough Scholarship","Master, Phd","$2,500",united-states
Invitation to Idaho funding for International Students at University of Idaho,Bachelor,"$15,084",united-states
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",united-states
Carr Academic Scholarship,Bachelor,"$15,000",united-states
Global Scholars Program to Study at Babson College,"Bachelor, Course",full scholarship,united-states
University of Birmingham Bellerbys Outstanding Achievement International Scholarship in UK,Bachelor,"�2,500",united-kingdom
GREAT Scholarships for Ghana Students at University of Warwick,Master,"�15,000",united-kingdom
Great Scholarships for India and Singapore Students at University of Plymouth,Master,"�10,000",united-kingdom
Latin American Taught Scholarships in UK,Master,"�5,000",united-kingdom
Advanced Chemical Engineering Professor�s International Scholarship in UK,Master,"Up to �11,075",united-kingdom
