name,degrees,funds,location
ULMS Indian Subcontinent Excellence Scholarships in UK,Master,50% of tuition fees,united-kingdom
Sir Ray Tindle international awards at University of Creative Arts,Bachelor,"�1,000 p.a.",united-kingdom
Great Scholarships for International Students at University of Derby,Master,"�11,000",united-kingdom
UCA Creative Europe Scholarships in UK,"Bachelor, Phd, Master",Tuition fee reduction to UK home fees,united-kingdom
UCA Nick Jack Scholarships for International Students in UK,Master,"�5,000",united-kingdom
ULMS European Union Excellence Scholarships in UK,Master,50% of tuition fees,united-kingdom
Aberystwyth University IBERS international awards in UK,Master,40% tuition fee discount,united-kingdom
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",united-kingdom
EU Grant Award at the University of Gloucestershire,"Phd, Master, Bachelor","�3,000",united-kingdom
Robert Lethbridge international awards in Modern Language,Master,"�1,250",united-kingdom
Horizon 2020,Phd,Fully Funded,canada
PhD Position in Fiber Devices for International Students,Phd,Fully Funded,canada
Amelia Earhart Fellowship,Phd,Fully Funded,canada
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,canada
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,canada
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,canada
Carleton University Entrance Scholarships for International Students,Bachelor,Partially Funded,canada
International Student Scholarships - Western University (UWO),Bachelor,Partially Funded,canada
National Buckeye Scholarship,Bachelor,"$54,000",united-states
Spirit of Giving Scholarship,"Bachelor, Course"," $3,000",united-states
Global Spartan Leadership Program for International Students at Michigan State University,Bachelor,$8000 ,united-states
International Scholarship Program (Firdaws Academy),Course,100%,united-states
MIT THINK Scholarship Program,Course,"$7,000 worth of prizes",united-states
University of Maine Intensive English Institute Discovery Scholarship in the USA,Bachelor,"US $2,000",united-states
President�s Postdoctoral Fellowship Program at University of California in USA,Phd,"$50,760",united-states
Family Empowerment program,Bachelor,The scholarship amount is the lesser of the school�s tuition and fees or the calculated scholarship amount ,united-states
Rentkidz Annual Scholarship,"Bachelor, Course",$750,united-states
MPOWER Global Citizen Scholarship,"Bachelor, Master, Phd","Fixed interest rates for amounts between $2,001.00 and $50,000.00",united-states
Prodigy Finance � International Student Loans,,,united-states
MPOWER Financing � Education Loans for International Students,"Bachelor, Master, Phd","Fixed interest rates for amounts between $2,001.00 and $50,000.00",united-states
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,united-states
Ratingle Scholarship Program,"Bachelor, Master, Phd, Course",$1000,united-states
Embry-Riddle Aeronautical University Scholarships,"Bachelor, Master",Partially Funded,united-states
UCB EU Transition Awards in UK,"Master, Bachelor",Tuition fee discount,united-kingdom
University of Strathclyde Access Bursary for ROI Students in UK,Bachelor,Up to �3000,united-kingdom
Lady Eileen McDonald EU & International Student Funds in UK,"Phd, Master, Bachelor",�300-�500,united-kingdom
LPDP Indonesia Scholarships at Cranfield University,"Master, Phd",Variable funds,united-kingdom
Cranfield Water Scholarships for Malawian Students in UK,Master,"�6,000",united-kingdom
John Gilbert Vause Memorial International Scholarship in the UK,Bachelor,�500,united-kingdom
International Scholarships at Durham University,"Master, Bachelor","�5,000 p.a.",united-kingdom
International College Dundee Entrant Scholarships in UK,Master,"Up to �4,500 p.a.",united-kingdom
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",united-kingdom
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,united-kingdom
Swansea University EU Transitional Bursary in UK,Bachelor,Tuition fee reduction,united-kingdom
50% scholarship for students based in India - University of Essex Online,"Master, Bachelor, Course",50% scholarship for all courses,united-kingdom
ITESM Doble Grado Tuition Fee Discount for International Students in UK,Master,50% of tuition fees,united-kingdom
High Achiever Scholarships for UK and Ireland Students at University of Buckingham,Bachelor," �2,000",united-kingdom
LLM Master of Law Scholarships for International Students at University of Roehampton,Master,"�5,000",united-kingdom
NYU Wagner Merit Scholarships,"Bachelor, Master",Partially Funded,united-states
Scholarships and Financial Aid for International Students - University of Oregon,"Bachelor, Master",Partially Funded,united-states
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,united-states
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,united-states
Jefferson Fellowship,"Master, Phd",Fully Funded,united-states
East Tennessee University - General Undergraduate Scholarships,Bachelor,Partially Funded,united-states
The Nieman Foundation - Journalism Fellowships,Phd,Fully Funded,united-states
Scholarships at Church Divinity School ?of the Pacific,"Bachelor, Master",Partially Funded,united-states
Rajawali Fellows Program - Harvard Kennedy School,Phd,Partially Funded,united-states
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,united-states
East Tennessee State University - International Students Academic Merit Scholarship,"Bachelor, Master, Phd",Partially Funded,united-states
Emory University scholarships for International Students,"Bachelor, Master",Partially Funded,united-states
Illinois Wesleyan University - International Student Scholarships,"Bachelor, Master",Partially Funded,united-states
Berea�s Tuition Promise Scholarship,"Bachelor, Master",Partially Funded,united-states
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,united-states
Lancaster EU Transition Scholarships in UK,"Master, Bachelor","�7,000",united-kingdom
Heads of School Scholarships for EU Students at Bangor University,Phd,10% of tuition fee p.a.,united-kingdom
University of Leeds Faculty of Engineering and Physical Sciences International Undergraduate Excellence Scholarships in UK,Bachelor,"Up to �6,000",united-kingdom
UEA Turkish Awards in the UK,Master,"Up to �5,000",united-kingdom
PGR Transitional Bursary for International Students at Swansea University,"Master, Phd",Reduced tuition fee,united-kingdom
University of Roehampton EU Transition Scholarships in UK,"Master, Bachelor",Tuition fee discount,united-kingdom
University of Birmingham Poynting Excellence international awards in UK,Bachelor,"Up to �3,000",united-kingdom
EU/EEA Scholarships at Middlesex University London in UK,Bachelor,Reduced tuition fees,united-kingdom
Africa postgraduate placements at University of Dundee in UK,Master,"�5,000",united-kingdom
Postgraduate Research international awards in Theory and Simulations of Frequency,Phd,"Fees, stipend + benefits",united-kingdom
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",united-kingdom
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",united-kingdom
International PhD Studentships in Metamaterial Nano-Machines,Phd,Tuition fees + limited funding,united-kingdom
International Excellent Student Scholarships at University of Derby,"Master, Bachelor","�5,000",united-kingdom
international awards at Brockenhurst College,Bachelor,Up to 50% tuition fees,united-kingdom
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,united-states
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,united-states
Kingston University - International Scholarships,"Bachelor, Master, Phd",Partially Funded,united-states
Thomas College - Graduate International Scholarship Program,Master,Partially Funded,united-states
Hamilton College Scholarships for International Students,Master,Partially Funded,united-states
Konrad von Moltke Research Grants for the young researchers,Phd,Fully Funded,united-states
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,united-states
Fulbright Foreign Student Program,"Master, Phd",Fully Funded,united-states
The American Indian Graduate Center - Scholarships,"Bachelor, Master",Partially Funded,united-states
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,united-states
Fellowships and Scholarships at Pardee RAND Graduate School,Phd,Partially Funded,united-states
Loyola University Undergraduate Scholarships,Bachelor,Partially Funded,united-states
John Lennon Scholarships,"Bachelor, Master",Partially Funded,united-states
New York Film Academy (NYFA) Scholarships,"Bachelor, Master",Partially Funded,united-states
University of Dayton Scholarships for Undergraduate International Students,Bachelor,Partially Funded,united-states
University of Leeds MBA EEA Excellence Scholarships in UK,Master,Half-fee,united-kingdom
South Asia Scholarships at University of Dundee,Bachelor,"$5,000 p.a., up to �25,000",united-kingdom
EU Bursary at University of Reading,Bachelor,"Up to �6,000",united-kingdom
Engagement Bursary for UK and EU Students at University of East London,Bachelor,"Up to �2,000",united-kingdom
East African Scholarships at University of Edinburgh,Master,100% tuition fees,united-kingdom
University of Leeds MBA Americas Excellence Scholarships in UK,Master,Half-fee,united-kingdom
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,united-kingdom
EU Transition Bursary at University of Derby,"Bachelor, Master","�4,500 p.a.",united-kingdom
Dr George Moore Data Science International Student Scholarships in UK,Master,"�3,000",united-kingdom
EU postgraduate placements at University of Stirling,Master,40% fee discount,united-kingdom
University of Manchester International Mathematics Scholarships in UK,Bachelor,"�1,000 p.a.",united-kingdom
University of Liverpool International College (UoLIC) Excellence Scholarships in UK,Bachelor,"�5,000 tuition fee reduction",united-kingdom
University of Liverpool Management School European Union Excellence Scholarships,Master,50% tuition fee waiver,united-kingdom
University of Manchester Global Futures Scholarships in UK,"Master, Bachelor",Variable,united-kingdom
Stirling Postgraduate Bangladesh Scholarships in UK,Master,"�4,000",united-kingdom
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,united-states
Jefferson Undergraduate Scholarship - University of Virginia,Bachelor,Fully Funded,united-states
Georgia College Scholarships for International Students,"Bachelor, Master",Partially Funded,united-states
Brandeis University - Merit- and Need-Based Scholarships,Master,Partially Funded,united-states
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,united-states
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,united-states
"Global Achievement Scholarship, Full Sail University",Master,Partially Funded,united-states
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,united-states
Harvard University-Graduate School of Arts and Sciences - Dissertation Completion Fellowships (DCF),Phd,Fully Funded,united-states
Reagan-Fascell Democracy Fellows - National Endowment for Democracy,Phd,Fully Funded,united-states
TransAtlantic Masters - Scholarships,Master,Not Funded,united-states
Euromasters Scholarships,Master,Partially Funded,united-states
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,united-states
The Humane Studies Fellowship - Institute for Humane Studies at George Mason University,Phd,Fully Funded,united-states
Kutztown University of Pennsylvania - International Student Scholarships,Bachelor,Partially Funded,united-states
Aberdeen Global Scholarships for EU Students in UK,Master,"Up to �5,000",united-kingdom
International Excellence Scholarships at University of East Anglia,Phd,"�4,000",united-kingdom
University of Plymouth Mayflower funding for USA students,Bachelor,"�1,620 tuition fee discount",united-kingdom
EU Scholarships at University of Southampton,"Bachelor, Master","�5,000",united-kingdom
Katrina Honeyman Scholarships for International Students in UK,Bachelor,"�2,000 p.a.",united-kingdom
Materials Science Entry Scholarships for International Students at University of Birmingham,Bachelor,"Up to �3,500",united-kingdom
Queen�s Excellence International Awards in UK,Bachelor,"�2,000",united-kingdom
International Excellence Scholarships at University of Birmingham,Bachelor,"�1,500",united-kingdom
Postgraduate Taught International Student Scholarships at University of Plymouth,Master,"�2,000",united-kingdom
International Academic Excellence Scholarships at University of Plymouth,"Bachelor, Master",50% off tuition fees,united-kingdom
University of York Maths Academic Excellence international awards,Bachelor,"�1,000",united-kingdom
International music awards at Swansea University,Bachelor,Value of �1000 p.a.,united-kingdom
Fulbright Commission Awards for USA Students at University of Warwick in UK,Master,"Up to �26,500",united-kingdom
45 Durham University Business School Masters international awards in UK,Master,"Up to �6,000 off tuition fees",united-kingdom
Rolls Royce PhD Positionsat University of Nottingham for UK and EU Students,Phd,"Tuition fees + �18,000 p.a. stipend",united-kingdom
Erasmus Exchange Programme,Fully Funded,,united-states
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,united-states
Study in the USA as an exchange student (1-2 semesters),Not Funded,,united-states
Be an exchange student for 1-2 semesters,Not Funded,,united-states
Horizon 2020,Phd,Fully Funded,united-states
Amelia Earhart Fellowship,Phd,Fully Funded,united-states
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,united-states
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,united-states
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,united-states
Kellogg Institute for International Studies - Visiting Fellowships,Phd,Fully Funded,united-states
"ChameleonJohn Annual $3,000 Scholarship for US Studies","Bachelor, Master, Phd",Not Funded,united-states
New York University Stern merit-based scholarships,Master,Partially Funded,united-states
International Student Scholarships - University of Evansville,"Bachelor, Master",Partially Funded,united-states
International Tuition Award - University of Arizona,Bachelor,Partially Funded,united-states
UN-Nippon Fellowship Programme in Ocean Affairs for Coastal Developing Countries,,,united-states
Academic Achievement International Foundation Progression Scholarships in UK,Bachelor,"�3,000",united-kingdom
University of Derby International merit awards in UK,"Master, Bachelor","�1,500",united-kingdom
Lancaster University Global Scholarships for African Students in UK,Master,"�3,000",united-kingdom
KDS Competition Scholarship 2021,"Master, Bachelor","Up to $1,500",united-kingdom
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",united-kingdom
PhD in Advanced Manufacture for UK and EU Students in UK,Phd,"�15,285 p.a.",united-kingdom
PhDs (Cotutelle) Scholarships for EU Students at University of Kent,Phd,50% Tuition fee,united-kingdom
Queen�s University Belfast Vice-Chancellor�s International Attainment postgraduate placements,Master,50% discount on tuition fees,united-kingdom
Vice-Chancellor�s Postgraduate International Excellence Scholarships at University of Brighton,Master,"�3,000",united-kingdom
FindDataLab Research Grant Programme in USA and EU,"Bachelor, Master, Phd, Course","Up to $1,000 towards web scraping serivces",united-kingdom
Warwick School of Engineering PhD International Studentships in Pharmacometric Modelling,Phd,"�15,250 p.a. + tuition fees",united-kingdom
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,"$10,000",united-kingdom
LLM Academic Excellence Scholarships for International Students at University of East Anglia,Master,"Up to �3,000",united-kingdom
Richard and Susan Hayden Academy Fellowship for Worldwide Students in UK,Phd,"�2,365 monthly stipend",united-kingdom
Anniversary Scholarships at London School of Economics and Political Science,Master,"�5,000-�25,000",united-kingdom
Rotary Peace Fellowships,,,united-states
Full Tuition PhD Positionsfor UK and EU Students at University of Warwick,Phd,Full university fees + allowance/award,united-kingdom
IU International University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",Up to 85% of tuition fee,united-kingdom
Cranfield University international awards in the UK,Master,,united-kingdom
Built Environment Undergraduate Silver Award for International Students at University of Salford,Bachelor,�2000,united-kingdom
University of Portsmouth Faculty of Business and Law Postgraduate funding for UK and EU Students in UK,"Bachelor, Master",,united-kingdom
Coventry University EU Academic Excellence Award in the UK,"Bachelor, Master","�1,500",united-kingdom
St Mary�s University Vice-Chancellor�s Excellence funding for UK and EU Students in UK,Bachelor,"�3,000",united-kingdom
University of Liverpool Management School Future Leaders Master�s funding for UK and EU Students in UK,Master,Full fee waiver,united-kingdom
Leicester Castle Business School International Postgraduate Taught Merit Scholarship in UK,Master,"�2,500",united-kingdom
University of Bradford International MSc Scholarship in UK,Master,Scholarship ,united-kingdom
Global MBA International Scholarship at De Montfort University,"Bachelor, Master"," �2,500,",united-kingdom
UCL DPU Health in Urban Development International Scholarship in UK,Master,"�10,000",united-kingdom
International Excellence/Achievement Scholarship at University of Birmingham,Bachelor," �7,500",united-kingdom
Scholarship for Online Learner at IU International University of Applied Sciences � Online,"Master, Bachelor",Up to � 13.000,united-kingdom
Scholarship for Academics at IU International University of Applied Sciences � Online,"Master, Bachelor",up to �13.000,united-kingdom
Scholarship for Future Entrepreneur at IU International University of Applied Sciences - Online,"Master, Bachelor",not specified,united-kingdom
Scholarship for STEM/MINT Professionals at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,united-kingdom
Scholarship for Women in Leadership and Management at IU International University of Applied Sciences - Online,"Master, Bachelor",Up to �13.000,united-kingdom
International Sporting Excellence Award at University of Nottingham,"Bachelor, Master","�5,000",united-kingdom
International Foundation Year Scholarship at the University of Leeds in the UK,Bachelor,"�3,000",united-kingdom
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,"�15,009",united-kingdom
Merit funding for International Students at University of Central Lancashire,"Bachelor, Master","�2,000 per year",united-kingdom
International Scholarship Program (Firdaws Academy),Course,100%,united-kingdom
international awards at the University of South Wales in the UK,"Master, Bachelor","�2,250",united-kingdom
PGT Excellence International Scholarship at the University of Glasgow in the UK,Master, �5000,united-kingdom
Oxford Leo Tong Chen Scholarships for International Students in the UK,Master,"�15,000 ",united-kingdom
Prodigy Finance � International Student Loans,,,united-kingdom
Marine Stewardship Council scholarship research program ,"Bachelor, Master, Phd, Course",Up to �4000,united-kingdom
"Goldsmiths, University of London International Response Scholarships","Bachelor, Master",,united-kingdom
"International Merit Postgraduate Scholarships at University of Sheffield in UK, 2017","Master, Phd",25% of tuition fees,united-kingdom
"University of Manchester PhD Scholarships for International Students in UK, 2017-2018",Phd,,united-kingdom
UCL Undergraduate Scholarships/Bursaries (University College London),Bachelor,Partially Funded,united-kingdom
Erasmus Mundus European Master in Global Studies,Master,Fully Funded,united-kingdom
EMBL International PhD Programme: Fellowships,Phd,Fully Funded,united-kingdom
"International Science Scholarships, Nottingham Trent University",Master,Partially Funded,united-kingdom
WCC scholarships programme (World Council of Churches),"Bachelor, Master, Phd",Fully Funded,united-kingdom
IPRA Foundation Peace Research Grants Program,Phd,Fully Funded,united-kingdom
ECF (European Cultural Foundation) STEP Beyond Travel grant,Phd,Partially Funded,united-kingdom
UWE Bristol International Scholarships: Postgraduate,Master,Partially Funded,united-kingdom
Mawista Scholarship for Students Studying Abroad with a Child,"Bachelor, Master",Fully Funded,united-kingdom
Brunel International Scholarships,"Bachelor, Master",Partially Funded,united-kingdom
Wessex Institute of Technology - Research Studies,Phd,Fully Funded,united-kingdom
ROTARY GLOBAL GRANTS,"Master, Phd",Fully Funded,united-kingdom
Ernst Ludwig Ehrlich Studienwerk - Scholarships,"Master, Phd",Fully Funded,united-kingdom
European Molecular Biology Short-Term Fellowships,Phd,Fully Funded,united-kingdom
"BPP University, UK-Vice Chancellor�s Scholarship","Bachelor, Master",Partially Funded,united-kingdom
John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Phd,Fully Funded,united-kingdom
Konrad von Moltke Research Grants for the young researchers,Phd,Fully Funded,united-kingdom
Institute for Current World Affairs - FELLOWSHIPS,Phd,Fully Funded,united-kingdom
Airbus Group PhD opportunities,Phd,Fully Funded,united-kingdom
Adobe Research Women-in-Technology Scholarship,Bachelor,Fully Funded,united-kingdom
Pirbright Institute,Phd,Not Funded,united-kingdom
BATH University - Sport Scholarship Scheme,"Bachelor, Master",Partially Funded,united-kingdom
"The Engineering Doctorate (EngD) - Bath and Bournemouth Universities, Centre for Doctoral Training",Phd,Partially Funded,united-kingdom
Exchange Student Programme at SOAS,Not Funded,,united-kingdom
Study Abroad at SOAS,Not Funded,,united-kingdom
Alliance Manchester Business School Scholarships,Master,Partially Funded,united-kingdom
International Council of Ophthalmology (ICO) - Three-Month Fellowships,Phd,Fully Funded,united-kingdom
Boustany Foundation - Cambridge University MBA Scholarship,Master,"�30,000",united-kingdom
The Boehringer Ingelheim Fonds awards PhD fellowships,Phd,Fully Funded,united-kingdom
The Boehringer Ingelheim Fonds - Travel grants for junior researchers,Phd,Fully Funded,united-kingdom
"Paul Sumerall Memorial Scholarships, Merchants Bank of California",Master,Partially Funded,united-kingdom
University of Hertfordshire - Scholarships for international students,"Master, Phd",Partially Funded,united-kingdom
TransAtlantic Masters - Scholarships,Master,Not Funded,united-kingdom
Euromasters Scholarships,Master,Partially Funded,united-kingdom
London Met University - Funding your studies,"Master, Bachelor, Phd",Partially Funded,united-kingdom
London Met University - Funding your studies,"Master, Bachelor, Phd",Partially Funded,united-kingdom
Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Phd,Partially Funded,united-kingdom
The Humane Studies Fellowship - Institute for Humane Studies at George Mason University,Phd,Fully Funded,united-kingdom
Wessex Institute of Technology - Research Studies,Phd,Fully Funded,united-kingdom
Erasmus Exchange Programme,Fully Funded,,united-kingdom
YFU (Youth for Undestanding) - Youth Exchange,Not Funded,,united-kingdom
Be an exchange student for 1-2 semesters,Not Funded,,united-kingdom
Birmingham Masters Scholarships,Master,Partially Funded,united-kingdom
Horizon 2020,Phd,Fully Funded,united-kingdom
Amelia Earhart Fellowship,Phd,Fully Funded,united-kingdom
The Leakey Foundation�s Research Grants to doctoral students,Phd,Fully Funded,united-kingdom
Axol Science Scholarship for Graduate or Undergraduate Degree Programs,"Bachelor, Master, Phd",Fully Funded,united-kingdom
ArtUniverse Scholarships,"Bachelor, Master, Phd",Partially Funded,united-kingdom
High Achievers Scholarship - Edge Hill University,Bachelor,Partially Funded,united-kingdom
Wolfson Postgraduate Scholarships in the Humanities - The Wolfson Foundation,Phd,Partially Funded,united-kingdom
Durham Doctoral Studentships,Phd,Partially Funded,united-kingdom
Sir Henry Wellcome Postdoctoral Fellowships,Phd,Fully Funded,united-kingdom
Heriot-Watt Scholarships and bursaries for UK campuses,"Bachelor, Master, Phd",Partially Funded,united-kingdom
The Keith Murray Senior Scholarship,Master,Course fees,united-kingdom
Cambridge International Scholarships,,,united-kingdom
Warwick Chancellor�s International Scholarships,,,united-kingdom
UN-Nippon Fellowship Programme in Ocean Affairs for Coastal Developing Countries,,,united-kingdom
Westminster Full Fee Scholarships for International Students,,,united-kingdom
UWE Millennium Development Scholarship for International Students,,,united-kingdom
Transform Together Scholarships for International and European Union (non-UK) Students,,,united-kingdom
Rotary Peace Fellowships,,,united-kingdom
UWE Global Student Scholarships for International Students,,,united-kingdom
Bristol University International Scholarships,,,united-kingdom
Rhodes Scholarships at Oxford University for International Students,,,united-kingdom
Reach Oxford Scholarships for Developing Country Students,,,united-kingdom
Schlumberger Cambridge Scholarships for Students from Developing Countries,,,united-kingdom
University of Birmingham Scholarships for International Students,,,united-kingdom
Florence Congleton Scholarships for African Women at University of Birmingham,,,united-kingdom
University of Westminster Full International Scholarships,,,united-kingdom
British Chevening Scholarships for International Students,,,united-kingdom
Skoll MBA Scholarships at Said Business School,,,united-kingdom
Career Development PhD Scholarships at University of Edinburgh,,,united-kingdom
Mo Ibrahim Foundation MBA Scholarships for Sub-Saharan Africans at London Business School,,,united-kingdom
Nottingham Developing Solutions Scholarships,,,united-kingdom
Scholarships for International Students at University of Exeter,,,united-kingdom
Desmond Tutu�s Masters Scholarships for Africans,,,united-kingdom
Southern African Scholarships at University of Edinburgh,,,united-kingdom
Edinburgh Global Masters Scholarships,,,united-kingdom
Erasmus Mundus Scholarships in Agricultural Development and NRM,,,united-kingdom
Erasmus Mundus Scholarships in Sustainable Forest and Nature Management,,,united-kingdom
Westminster International Scholarships,,,united-kingdom
Bristol MBA International Scholarship,,,united-kingdom
LJMU Roscoe International Scholarship,,,united-kingdom
Masters in Engineering Geology Scholarships at University of Leeds,,,united-kingdom
Sustainability Masters Scholarships at University of Leeds,,,united-kingdom
MRes in Climate and Atmospheric Science Scholarships at University of Leeds,,,united-kingdom
Eira Francis Davies Scholarship at Swansea University,,,united-kingdom
Swansea University International Excellence and Merit Scholarships,,,united-kingdom
Westminster Disaster Regeneration Scholarship,,,united-kingdom
Ruth First Scholarships for Southern Africans at Durham University,,,united-kingdom
"Eldred-Waverley Scholarship at Linacre College, Oxford",,,united-kingdom
Oppenheimer Fund Scholarships at University of Oxford,,,united-kingdom
Oxford Pershing Square Graduate Scholarships,,,united-kingdom
Rhodes Scholarships in Oxford University for Southern Africans,,,united-kingdom
Nottingham Trent University Science Scholarships for Non-EU Students,,,united-kingdom
Sussex Chancellor�s International Research Scholarships,,,united-kingdom
UWE Chancellor�s Scholarships for International Students,,,united-kingdom
Swansea University International Excellence Scholarships,,,united-kingdom
